Category,Family,Genus,Species,Common Name,Native,Frequency,Source,Newsletter
Daisy,Asteraceae,Chrysocephalum,apiculatum,Yellow Buttons,Yes,Unknown,Group,
Daisy,Asteraceae,Chrysocephalum,semipapposum,Clustered Everlasting,Yes,Unknown,Group,
Daisy,Asteraceae,Cirsium*,vulgare,Spear Thistle,No,Unknown,Group,
Daisy,Asteraceae,Conyza*,albida,Tall Fleabane,No,Unknown,Group,
Daisy,Asteraceae,Conyza*,bonariensis,Flax-leaf Fleabane,No,Unknown,Group,"<a href=""news/Jun12.pdf"">June 2012</a>"
Daisy,Asteraceae,Cotula,australis,Common Cotula,Yes,Unknown,Group,"<a href=""news/Aug09.pdf"">August 2009</a>"
Daisy,Asteraceae,Craspedia,sp,Billy Buttons,Yes,Unknown,Group,
Daisy,Asteraceae,Crepis*,capillaris,Smooth Hawksbeard,No,Unknown,Group,
Daisy,Asteraceae,Cymbonotus,lawsonianus,Bear's Ear,Yes,Unknown,Group,"<a href=""news/Aug10.pdf"">August 2010</a>"
Daisy,Asteraceae,Erigeron*,karvinskianus,"Bony-tip Fleabane, Seaside Daisy",No,Unknown,Group,"<a href=""news/Aug14.pdf"">August 2014</a>"
Daisy,Asteraceae,Euchiton,sphaericus,Cudweed,Yes,Unknown,Group,
Daisy,Asteraceae,Gamochaeta*,calviceps,Cudweed,No,Unknown,Group,"<a href=""news/De10.pdf"">December 2010</a>"
Daisy,Asteraceae,Gazania*,sp,,No,Unknown,Group,
Daisy,Asteraceae,Helianthus *,annuus,Common Sunflower,No,Unknown,Group,
Daisy,Asteraceae,Hypochaeris*,glabra,Smooth Catsear,No,Unknown,Group,"<a href=""news/Oct09.pdf"">October 2009</a>"
Daisy,Asteraceae,Hypochaeris*,radicata,Flat weed,No,Unknown,Group,
Daisy,Asteraceae,Lactuca*,serriola,Prickly Lettuce,No,Unknown,Group,
Daisy,Asteraceae,Leptorhynchos,elongatus,Lanky buttons ,Yes,Unknown,CNM,
Daisy,Asteraceae,Leptorhynchos,squamatus,Scaly Buttons,Yes,Unknown,Group,
Daisy,Asteraceae,Leucochrysum,albicans,Hoary Sunray ,Yes,Unknown,CNM,
Daisy,Asteraceae,Onopordum*,acanthium,Scotch Thistle,No,Unknown,Group,
Daisy,Asteraceae,Pseudognaphalium,luteoalbum,Jersey Cudweed,Yes,Unknown,Group,
Daisy,Asteraceae,Senecio,hispidulus,Hill Fireweed,Yes,Unknown,Group,
Daisy,Asteraceae,Senecio,quadridentatus,Cotton Fireweed,Yes,Unknown,Group,
Daisy,Asteraceae,Silybum *,marianum,Variegated Thistle,No,Unknown,Group,
Daisy,Asteraceae,Solenogyne,dominii,,Yes,Unknown,Group,
Daisy,Asteraceae,Sonchus*,asper,Prickly Sowthistle,No,Unknown,Group,
Daisy,Asteraceae,Sonchus*,oleraceus,Common Sowthistle,No,Unknown,Group,
Daisy,Asteraceae,Tanacetum*,vulgare,Tansy,No,Unknown,Group,
Daisy,Asteraceae,Taraxacum*,officinale,Dandelion,No,Unknown,Group,
Daisy,Asteraceae,Tolpis*,barbata,,No,Unknown,Group,
Daisy,Asteraceae,Tragopogon*,dubius,Goatsbeard,No,Unknown,Group,"<a href=""news/Feb11.pdf"">February 2011</a>"
Daisy,Asteraceae,Tragopogon*,porrifolius,Salsify,No,Unknown,Group,
Daisy,Asteraceae,Triptilodiscus,pygmaeus,Common Sunray,Yes,Unknown,Group,
Daisy,Asteraceae,Vittadinia,cuneata forma cuneata,Fuzz Weed,Yes,Unknown,Group,
Daisy,Asteraceae,Vittadinia,cuneata forma minor,Fuzz Weed,Yes,Unknown,Group,
Daisy,Asteraceae,Vittadinia,gracilis,Woolly New Holland Daisy,Yes,Unknown,Group,
Daisy,Asteraceae,Vittadinia,muelleri,,Yes,Unknown,Group,
Daisy,Asteraceae,Xanthium*,occidentale,"Noogoora Burr, Cockle Burr",No,Unknown,Group,"<a href=""news/Aug11.pdf"">August 2011</a>"
Daisy,Asteraceae,Xanthium*,spinosum,Bathurst Burr,No,Unknown,Group,"<a href=""news/Jun09.pdf"">June 2009</a><br><a href=""news/May11.pdf"">May 2011</a><br><a href=""news/Dec11.pdf"">December 2011</a>"
Daisy,Asteraceae,Xerochrysum,viscosum,Sticky Everlasting,Yes,Unknown,Group,
Daisy,Asteraceae,,bathurstianus,,Yes,Unknown,Group,
Ferns and Clubmosses,Blechnaceae,Blechnum,cartilagineum,Gristle fern ,Yes,Unknown,CNM,
Ferns and Clubmosses,Aspleniaceae,Asplenium,flabellifolium,Necklace Fern,Yes,Unknown,Group,
Ferns and Clubmosses,Azollaceae,Azolla,filiculoides var. rubra,Azolla,Yes,Unknown,Group,
Ferns and Clubmosses,Sinopteridaceae,Cheilanthes,austrotenuifolia,Rock Fern,Yes,Unknown,Group,
Ferns and Clubmosses,Sinopteridaceae,Cheilanthes,distans,Bristly Cloak Fern,Yes,Unknown,Group,
Ferns and Clubmosses,Sinopteridaceae,Cheilanthes,sieberi,Resurrection Fern,Yes,Unknown,Group,
Ferns and Clubmosses,Cyatheaceae,Cyathea,australis,Rough Tree-fern,Yes,Unknown,Group,
Ferns and Clubmosses,Sinopteridaceae,Pellaea,falcata,Sickle Fern,Yes,Unknown,Group,
Ferns and Clubmosses,Aspleniaceae,Pleurosorus,rutifolius,Blanket Fern,Yes,Unknown,Group,
Ferns and Clubmosses,Dryopteridaceae,Polystichum,proliferum,Mother Shield Fern,Yes,Unknown,Group,"<a href=""news/Sept10.pdf"">September 2010</a>"
Ferns and Clubmosses,Dennstaedtiaceae,Pteridium,esculentum,Bracken,Yes,Unknown,Group,"<a href=""news/Jun11.pdf"">June 2011</a>"
Grass,Poaceae,Agrostis*,stolonifera,Creeping Bent Grass,No,Unknown,Group,
Grass,Poaceae,Aira*,elegantissima,Maidenhair Grass,No,Unknown,Group,
Grass,Poaceae,Amphibromus,nervosus,Common Swamp Wallaby Grass,Yes,Unknown,Group,
Grass,Poaceae,Aristida,ramosa,Purple Wire Grass,Yes,Unknown,Group,"<a href=""news/May09.pdf"">May 2009</a>"
Grass,Poaceae,Austrodanthonia,auriculata,Lobed Wallaby Grass,Yes,Unknown,Group,
Grass,Poaceae,Austrodanthonia,caespitosa,Ringed Wallaby Grass,Yes,Unknown,Group,
Grass,Poaceae,Austrodanthonia,carphoides,Short Wallaby Grass,Yes,Unknown,Group,"<a href=""news/Dec09.pdf"">Dec 2009</a>"
Grass,Poaceae,Austrodanthonia,eriantha,Hill Wallaby-grass,Yes,Unknown,Group,
Grass,Poaceae,Austrodanthonia,fulva,,Yes,Unknown,Group,
Grass,Poaceae,Austrodanthonia,laevis,,Yes,Unknown,Group,
Grass,Poaceae,Austrodanthonia,penicillata,Slender Wallaby Grass,Yes,Unknown,Group,
Grass,Poaceae,Austrodanthonia,pilosa,Smooth-flower Wallaby Grass,Yes,Unknown,Group,
Grass,Poaceae,Austrodanthonia,racemosa,,Yes,Unknown,Group,
Grass,Poaceae,Austrodanthonia,tenuior,,Yes,Unknown,Group,
Grass,Poaceae,Austrostipa,bigeniculata,Tall Spear Grass,Yes,Unknown,Group,
Grass,Poaceae,Austrostipa,densiflora,Foxtail Spear Grass,Yes,Unknown,Group,
Grass,Poaceae,Austrostipa,scabra subsp. falcata,,Yes,Unknown,Group,
Grass,Poaceae,Avena*,barbata,Bearded Oats,No,Unknown,Group,
Grass,Poaceae,Avena*,sativa,Oats,No,Unknown,Group,
Grass,Poaceae,Bothriochloa,macra,Red-leg,Yes,Unknown,Group,
Grass,Poaceae,Briza *,minor,Shivery Grass,No,Unknown,Group,
Grass,Poaceae,Briza*,maxima,Quaking Grass,No,Unknown,Group,
Grass,Poaceae,Bromus*,catharticus,Prairie Grass,No,Unknown,Group,
Grass,Poaceae,Bromus*,diandrus,Great Brome,No,Unknown,Group,
Grass,Poaceae,Bromus*,hordeaceus,Soft Brome,No,Unknown,Group,
Grass,Poaceae,Bromus*,molliformis,Soft Brome,No,Unknown,Group,
Grass,Poaceae,Bromus*,rubens,Red Brome,No,Unknown,Group,
Grass,Poaceae,Chloris,truncata,Windmill Grass,Yes,Unknown,Group,
Grass,Poaceae,Cymbopogon,refractus,Barbed Wire Grass,Yes,Unknown,Group,
Grass,Poaceae,Cynodon *,dactylon,Couch Grass,No,Unknown,Group,
Grass,Poaceae,Dactylis*,glomerata,Cocksfoot,No,Unknown,Group,
Grass,Poaceae,Dichanthium,sericeum,Queensland Blue Grass,Yes,Unknown,Group,"<a href=""news/Apr10.pdf"">April 2010</a>"
Grass,Poaceae,Dichelachne,micrantha,Plume Grass,Yes,Unknown,Group,
Grass,Poaceae,Dichelachne,rara,Plume Grass,Yes,Unknown,Group,
Grass,Poaceae,Digitaria,brownii,Cotton Panic Grass,Yes,Unknown,Group,"<a href=""news/Mar10.pdf"">March 2010</a><br><a href=""news/Jun14.pdf"">June 2014</a><br><a href=""news/May15.pdf"">May 2015</a>"
Grass,Poaceae,Digitaria*,sanguinalis,,No,Unknown,Group,"<a href=""news/Mar10.pdf"">March 2010</a>"
Grass,Poaceae,Dittrichia*,graveolens,Stinkwort,No,Unknown,Group,
Grass,Poaceae,Echinochloa*,crus-galli,Barnyard Grass,No,Unknown,Group,
Grass,Poaceae,Ehrharta*,erecta,Panic Veldtgrass,No,Unknown,Group,
Grass,Poaceae,Eleusine*,tristachya,Goose Grass,No,Unknown,Group,
Grass,Poaceae,Elymus,scaber,Wheat Grass,Yes,Unknown,Group,
Grass,Poaceae,Elytrigia*,repens,English Couch,No,Unknown,Group,
Grass,Poaceae,Enneapogon,nigricans,Niggerhead,Yes,Unknown,Group,"<a href=""news/May09.pdf"">May 2009</a>"
Grass,Poaceae,Eragrostis,brownii,Brown's Lovegrass,Yes,Unknown,Group,
Grass,Poaceae,Eragrostis,parviflora,Weeping Lovegrass,Yes,Unknown,Group,"<a href=""news/Apr10.pdf"">April 2010</a>"
Grass,Poaceae,Eragrostis,trachycarpa,Rough Grain Lovegrass,Yes,Unknown,Group,
Grass,Poaceae,Eragrostis*,cilianensis,Stinkgrass,No,Unknown,Group,
Grass,Poaceae,Eragrostis*,curvula,African Lovegrass,No,Unknown,Group,"<a href=""news/Feb09"">February 2009</a>"
Grass,Poaceae,Eragrostis*,pilosa,Soft Lovegrass,No,Unknown,Group,
Grass,Poaceae,Festuca*,elatior,Fescue,No,Unknown,Group,
Grass,Poaceae,Holcus *,lanatus,Yorkshire Fog,No,Unknown,Group,
Grass,Poaceae,Hordeum*,leporinum,Barley Grass,No,Unknown,Group,
Grass,Poaceae,Hordeum*,vulgare,Barley,No,Unknown,Group,
Grass,Poaceae,Joycea,pallida,Redanther Wallaby Grass,Yes,Unknown,Group,
Grass,Poaceae,Lachnagrostis,filiformis,Common Blown Grass,Yes,Unknown,Group,
Grass,Poaceae,Lolium*,rigidum,Wimmera Rye Grass,No,Unknown,Group,
Grass,Poaceae,Microlaena,stipoides,Weeping Grass,Yes,Unknown,Group,
Grass,Poaceae,Nassella*,neesiana,Chilean Needle Grass,No,Unknown,Group,"<a href=""news/Dec08.pdf"">December 2008</a>"
Grass,Poaceae,Nassella*,trichotoma,Serrated tussock,No,Unknown,Group,"<a href=""news/Jul11.pdf"">July 2011</a>"
Grass,Poaceae,Panicum,effusum,Native Millet,Yes,Unknown,Group,
Grass,Poaceae,Paspalidium*,distans,Five Minute Grass,No,Unknown,Group,
Grass,Poaceae,Paspalum,distichum,Water Couch,Yes,Unknown,Group,"<a href=""news/Feb12.pdf"">February 2012</a>"
Grass,Poaceae,Paspalum*,dilatatum,Paspalum,No,Unknown,Group,
Grass,Poaceae,Phalaris*,aquatica,Phalaris,No,Unknown,Group,
Grass,Poaceae,Poa,labillardieri,Tussock,Yes,Unknown,Group,"<a href=""news/Nov08.pdf"">November 2008</a>"
Grass,Poaceae,Poa,sieberiana,Fine-leaf Tussock Grass,Yes,Unknown,Group,"<a href=""news/Nov08.pdf"">November 2008</a>"
Grass,Poaceae,Poa *,bulbosa,Bulbous Poa,No,Unknown,Group,"<a href=""news/Nov08.pdf"">November 2008</a>"
Grass,Poaceae,Polypogon*,monspeliensis,Annual Beard-grass,No,Unknown,Group,
Grass,Poaceae,Puccinellia,sp.,,Yes,Unknown,Group,
Grass,Poaceae,Secale*,sp,Cereal Rye,No,Unknown,Group,
Grass,Poaceae,Setaria*,gracilis,Slender Pigeon Grass,No,Unknown,Group,
Grass,Poaceae,Setaria*,italica,Foxtail Millet,No,Unknown,Group,
Grass,Poaceae,Setaria*,verticillata,Whorled Pigeon Grass,No,Unknown,Group,
Grass,Poaceae,Sorghum,leiocladum,Wild Sorghum,Yes,Unknown,Group,
Grass,Poaceae,Sorghum*,sp,,No,Unknown,Group,
Grass,Poaceae,Sporobolus,creber,Slender Rat's Tail Grass,Yes,Unknown,Group,
Grass,Poaceae,Sporobolus,elongatus,Slender Rat's Tail Grass,Yes,Unknown,Group,
Grass,Poaceae,Themeda,triandra,Kangaroo Grass,Yes,Unknown,Group,
Grass,Poaceae,Vulpia*,bromoides,Rat's Tail Fescue,No,Unknown,Group,
Grass,Poaceae,Vulpia*,muralis,,No,Unknown,Group,
Gum Tree,Myrtaceae,Eucalyptus,blakelyi,Blakely's Red Gum,Yes,Unknown,Group,
Gum Tree,Myrtaceae,Eucalyptus,bridgesiana,Apple Box,Yes,Unknown,Group,
Gum Tree,Myrtaceae,Eucalyptus,dives,Peppermint,Yes,Unknown,Group,
Gum Tree,Myrtaceae,Eucalyptus,goniocalyx,Bundy,Yes,Unknown,Group,
Gum Tree,Myrtaceae,Eucalyptus,macrorhyncha,Red Stringybark,Yes,Unknown,Group,
Gum Tree,Myrtaceae,Eucalyptus,melliodora,Yellow Box,Yes,Unknown,Group,
Gum Tree,Myrtaceae,Eucalyptus,nortonii,Mealy Bundy,Yes,Unknown,Group,
Gum Tree,Myrtaceae,Eucalyptus,pauciflora ssp pauciflora,Snow Gum,Yes,Unknown,Group,
Gum Tree,Myrtaceae,Eucalyptus,polyanthemos,Red Box,Yes,Unknown,Group,
Gum Tree,Myrtaceae,Eucalyptus,rossii,Scribbly Gum,Yes,Unknown,Group,
Gum Tree,Myrtaceae,Eucalyptus*,botryoides,Southern Mahogany,No,Unknown,Group,
Gum Tree,Myrtaceae,Eucalyptus*,cinerea,Argyle Apple,No,Unknown,Group,
Gum Tree,Myrtaceae,Eucalyptus*,crenulata,Vic. Silver Gum,No,Unknown,Group,
Gum Tree,Myrtaceae,Eucalyptus*,globulus subsp.bicostata,Southern Blue Gum,No,Unknown,Group,
Gum Tree,Myrtaceae,Eucalyptus*,leucoxylon,Yellow Gum,No,Unknown,Group,
Gum Tree,Myrtaceae,Eucalyptus*,mannifera,Brittle Gum,No,Unknown,Group,
Gum Tree,Myrtaceae,Eucalyptus*,sideroxylon,Red Ironbark,No,Unknown,Group,"<a href=""news/Nov11.pdf"">November 2011</a>"
Lily & Iris,Anthericaceae,Arthropodium,fimbriatum,Chocolate Lily ,Yes,Unknown,CNM,
Lily & Iris,Anthericaceae,Arthropodium,milleflorum,Pale Vanilla Lily,Yes,Unknown,Group,
Lily & Iris,Anthericaceae,Arthropodium,minus,Small Vanilla Lily,Yes,Unknown,Group,
Lily & Iris,Asphodelaceae,Bulbine,bulbosa,Bulbine Lily,Yes,Unknown,Group,
Lily & Iris,Anthericaceae,Caesia,calliantha,Purple Grass Lily,Yes,Unknown,Group,
Lily & Iris,Phormiaceae,Dianella,longifolia,Blue Flax-lily,Yes,Unknown,Group,
Lily & Iris,Phormiaceae,Dianella,revoluta,Blue Flax-lily,Yes,Unknown,Group,
Lily & Iris,Anthericaceae,Dichopogon,fimbriatus,Nodding Chocolate Lily,Yes,Unknown,Group,"<a href=""news/Jan09.pdf"">January 2009</a>"
Lily & Iris,Hydrocharitaceae,Ottelia,ovalifolia,Swamp Lily,Yes,Unknown,Group,"<a href=""news/Mar12.pdf"">March 2012</a>"
Lily & Iris,Iridaceae,Romulea*,rosea,Onion Grass,No,Unknown,Group,
Lily & Iris,Anthericaceae,Thysanotus,tuberosus,Common Fringed Lily,Yes,Unknown,Group,
Lily & Iris,Anthericaceae,Tricoryne,elatior,Yellow Rush Lily,Yes,Unknown,Group,
Lily & Iris,Colchicaceae,Wurmbea,dioica,Early Nancy,Yes,Unknown,Group,"<a href=""news/Oct10.pdf"">October 2010</a>"
Orchid,Orchidaceae,Diuris,dendrobiodes,,Yes,Unknown,Group,
Orchid,Orchidaceae,Diuris,sulphurea,"Tiger, Hornet Orchid",Yes,Unknown,Group,
Orchid,Orchidaceae,Microtis,unifolia,Common Onion Orchid,Yes,Unknown,Group,"<a href=""news/Jan11.pdf"">January 2011</a>"
Other Shrub,Epacridaceae,Acrotriche,serrulata,Honeypots,Yes,Unknown,Group,
Other Shrub,Epacridaceae,Astroloma,humifusum,Native Cranberry,Yes,Unknown,Group,
Other Shrub,Berberidaceae,Berberis*,aquifolium,Oregon Grape,No,Unknown,Group,"<a href=""news/Oct12.pdf"">October 2012</a>"
Other Shrub,Euphorbiaceae,Bertya,rosmarinifolia,Bertya,Yes,Unknown,Group,
Other Shrub,Epacridaceae,Brachyloma,daphnoides,Daphne Heath,Yes,Unknown,Group,
Other Shrub,Pittosporaceae,Bursaria,spinosa ssp lasiophylla,Blackthorn,Yes,Unknown,Group,
Other shrub,Rosaceae,Crataegus*,monogyna,Hawthorn,No,Unknown,Group,"<a href=""news/Mar14.pdf"">March 2014</a>"
Other Shrub,Rhamnaceae,Cryptandra,amara var. amara,Pretty Cryptandra,Yes,Unknown,Group,
Other Shrub,Sapindaceae,Dodonaea,viscosa ssp. angustissima,Sticky Hop Bush,Yes,Unknown,Group,"<a href=""news/Nov09.pdf"">November 2009</a>"
Other Shrub,Sapindaceae,Dodonaea,viscosa ssp. spatulata,Sticky Hop Bush,Yes,Unknown,Group,"<a href=""news/Nov09.pdf"">November 2009</a>"
Other Shrub,Proteaceae,Grevillea*,juniperina,Grevillea,No,Unknown,Group,
Other Shrub,Proteaceae,Grevillea*,sp,Grevillea,No,Unknown,Group,
Other Shrub,Dilleniaceae,Hibbertia,obtusifolia,Hoary Guinea-flower,Yes,Unknown,Group,
Other Shrub,Dilleniaceae,Hibbertia,riparia,Erect Guinea-flower,Yes,Unknown,Group,
Other Shrub,Dilleniaceae,Hibbertia,stricta,Guinea-flower ,Yes,Unknown,CNM,
Other Shrub,Clusiaceae,Hypericum *,calycinum,Rose of Sharon,No,Unknown,Group,
Other Shrub,Cupressaceae,Juniperus*,sp,Juniper,No,Unknown,Group,
Other Shrub,Epacridaceae,Lissanthe,strigosa,Peach Heath,Yes,Unknown,Group,
Other Shrub,Caryophyllaceae,Lychnis*,coronaria,Dusty Miller,No,Unknown,Group,
Other Shrub,Solanaceae,Lycium*,ferocissimum,African Boxthorn,No,Unknown,Group,
Other Shrub,Berberidaceae,Mahonia *,aquifolium,Mahonia,No,Unknown,Group,
Other Shrub,Epacridaceae,Melichrus,urceolatus,Urn Heath,Yes,Unknown,Group,
Other Shrub,Berberidaceae,Nandina*,domestica,Chinese Sacred Bamboo,No,Unknown,Group,
Other Shrub,Cactaceae,Opuntia*,stricta,Prickly Pear,No,Unknown,Group,"<a href=""news/Aug15.pdf"">August 2015</a>"
Other Shrub,Rubiaceae,Philotheca *,myoporoides,Long-leaf Flax Lily,No,Unknown,Group,
Other Shrub,Thymelaeaceae,Pimelea,curviflora,Curved Rice flower,Yes,Unknown,Group,
Other Shrub,Thymelaeaceae,Pimelea,linifolia,Slender Rice Flower,Yes,Unknown,Group,
Other Shrub,Rhamnaceae,Pomaderris,angustifolia,,Yes,Unknown,Group,
Other Shrub,Rosaceae,Pyracantha*,angustifolia,Orange Firethorn,No,Unknown,Group,
Other Shrub,Rosaceae,Rosa*,rubiginosa,Sweet Briar,No,Unknown,Group,
Other Shrub,Lamiaceae,Rosmarinus*,officinalis,Rosemary,No,Unknown,Group,
Other Shrub,Rosaceae,Rubus,parvifolius,Wild Rasberry,Yes,Unknown,Group,
Other Shrub,Rosaceae,Rubus*,fruticosus,Blackberry,No,Unknown,Group,
Other Shrub,Solanaceae,Solanum,cinereum,Narrawa Burr,Yes,Unknown,Group,"<a href=""news/Jun10.pdf"">June 2010</a><br><a href=""news/Dec15.pdf"">December 2015</a>"
Other Shrub,Solanaceae,Solanum,linearifolium,Mountain Kangaroo Apple,Yes,Unknown,Group,
Other Shrub,Solanaceae,Solanum*,pseudocapsicum,Jerusalem Cherry,No,Unknown,Group,
Other Shrub,Adoxaceae,Viburnum*,tinus,Laurustinus,No,Unknown,Group,
Other Tree,Casuarinaceae,Allocasuarina,verticillata,Drooping Sheoak,Yes,Unknown,Group,
Other Tree,Sterculiaceae,Brachychiton,populneus,Kurrajong,Yes,Unknown,Group,"<a href=""news/Mar09.pdf"">March 2009</a>"
Other Tree,Ulmaceae,Celtis*,australis,"Thistle Tree, Southern Nettle Tree, European Hackberry, Micocoulier",No,Unknown,Group,"<a href=""news/Feb14.pdf"">February 2014</a>"
Other Tree,Santalaceae,Exocarpos,cupressiformis,Native Cherry,Yes,Unknown,Group,
Other Tree,Oleaceae,Fraxinus*,sp,Ash,No,Unknown,Group,
Other Tree,Sapindaceae,Koelreuteria*,paniculata,Golden Rain Tree,No,Unknown,Group,
Other Tree,Oleaceae,Ligustrum*,sinense,Small-leaved Privet,No,Unknown,Group,"<a href=""news/May12.pdf"">May 2012</a>"
Other Tree,Pinaceae,Pinus*,radiata,Monterey Pine,No,Unknown,Group,
Other Tree,Anacardiaceae,Pistacia*,sp,Pistachio,No,Unknown,Group,
Other Tree,Rosaceae,Prunus *,sp,,No,Unknown,Group,
Other Tree,Rosaceae,Pyrus*,sp,Pear,No,Unknown,Group,
Other Tree,Rubiaceae,Sorbus*,aucuparia,Rowan Tree,No,Unknown,Group,
Other Tree,Rubiaceae,Sorbus*,domestica,Service Tree,No,Unknown,Group,"<a href=""news/May13.pdf"">May 2013</a>"
Other Tree,Ulmaceae,Ulmus*,parvifolia,Chinese Elm,No,Unknown,Group,
Other Wildflower,Rosaceae,Acaena,novae-zelandiae,Bidgee-widgee,Yes,Unknown,Group,
Other Wildflower,Rosaceae,Acaena,ovina,Sheep's Burr,Yes,Unknown,Group,
Other Wildflower,Polygonaceae,Acetosella*,vulgaris,Sorrel,No,Unknown,Group,
Other Wildflower,Amaranthaceae,Alternanthera*,nana,Hairy Joyweed,Yes,Unknown,Group,
Other Wildflower,Amaranthaceae,Alternanthera*,pungens,Khaki Weed,Yes,Unknown,Group,"<a href=""news/Apr11.pdf"">April 2011</a>"
Other Wildflower,Amaranthaceae,Amaranthus*,albus,Tumbleweed,No,Unknown,Group,
Other Wildflower,Amaranthaceae,Amaranthus*,powellii,Powell's Amaranth,No,Unknown,Group,
Other Wildflower,Amaranthaceae,Amaranthus*,retroflexus,Red Root,No,Unknown,Group,
Other Wildflower,Boraginaceae,Amsinckia*,intermedia,Common Fiddleneck,No,Unknown,Group,
Other Wildflower,Primulaceae,Anagallis*,arvensis,Pimpernel,No,Unknown,Group,
Other Wildflower,Asparagaceae,Asparagus*,officinalis,Asparagus,No,Unknown,Group,
Other Wildflower,Rubiaceae,Asperula,conferta,Common Woodruff,Yes,Unknown,Group,
Other Wildflower,Boraginaceae,Buglossoides*,arvensis,Sheepwell,No,Unknown,Group,
Other Wildflower,Brassicaceae,Capsella*,bursa-pastoris,Shepherd's Purse,No,Unknown,Group,
Other Wildflower,Gentianaceae,Centaurium*,erythraea,Common Centaury,No,Unknown,Group,
Other Wildflower,Gentianaceae,Centaurium*,tenuiflorum,,No,Unknown,Group,"<a href=""news/Jan12.pdf"">January 2012</a>"
Other Wildflower,Valerianaceae,Centranthus*,ruber,Kiss-me-quick,No,Unknown,Group,
Other Wildflower,Caryophyllaceae,Cerastium*,glomeratum,Mouse-ear Chickweed,No,Unknown,Group,"<a href=""news/Oct09.pdf"">October 2009</a>"
Other Wildflower,Euphorbiaceae,Chamaesyce,drummondii,Caustic Weed,Yes,Unknown,Group,
Other Wildflower,Chenopodiaceae,Chenopodium,pumilio,Small Crumbweed,Yes,Unknown,Group,
Other Wildflower,Chenopodiaceae,Chenopodium*,album,Fat Hen,No,Unknown,Group,
Other Wildflower,Apiaceae,Conium*,maculatum,Hemlock,No,Unknown,Group,
Other Wildflower,Rosaceae,Cotoneaster*,glaucophylla,Cotoneaster,No,Unknown,Group,
Other Wildflower,Crassulaceae,Crassula,sieberiana,Australian Stonecrop,Yes,Unknown,Group,
Other Wildflower,Cucurbitaceae,Cucumis*,myriocarpus,Paddymelon,No,Unknown,Group,
Other Wildflower,Apiaceae,Cyclospermum*,leptophyllum,Slender Celery,No,Unknown,Group,"<a href=""news/Apr15.pdf"">April 2015</a>"
Other Wildflower,Boraginaceae,Cynoglossum,australe,Australian Hound's Tooth,Yes,Unknown,Group,
Other Wildflower,Boraginaceae,Cynoglossum,suaveolens,Sweet Hound's Tooth,Yes,Unknown,Group,
Other Wildflower,Solanaceae,Datura*,stramonium,Common Thornapple,No,Unknown,Group,
Other Wildflower,Apiaceae,Daucus,glochidiatus,Native Carrot,Yes,Unknown,Group,
Other Wildflower,Convolvulaceae,Dichondra,repens,Kidney Weed,Yes,Unknown,Group,
Other Wildflower,Boraginaceae,Echium*,plantagineum,Paterson's Curse,No,Unknown,Group,
Other Wildflower,Boraginaceae,Echium*,vulgare,Viper's Bugloss,No,Unknown,Group,
Other Wildflower,Chenopodiaceae,Einadia,nutans subsp. nutans,Climbing Saltbush,Yes,Unknown,Group,"<a href=""news/Jul14.pdf"">July 14</a>"
